val	PWM	Voltage	Real
264	164132	6.902480125	221
265	161920	6.942149639	221
266	164644	6.902480125	221
267	160948	6.922314644	221
268	161676	6.942149639	221
269	164224	6.942149639	221
270	165720	6.902480125	221
271	165268	6.922314644	221
272	164188	6.922314644	221
273	162344	6.902480125	221
274	128108	7.061157703	153
275	128760	7.061157703	153
276	129836	7.061157703	153
277	127980	7.080992699	153
278	130164	7.080992699	153
279	127948	7.080992699	153
280	130464	7.061157703	153
281	128864	7.080992699	153
282	130864	7.061157703	153
283	130848	7.061157703	153
284	128456	7.061157703	153
285	131176	7.080992699	153
286	128812	7.061157703	153
287	129672	7.061157703	153
288	131672	7.041322708	153
289	128932	7.061157703	153
290	130340	7.061157703	153
291	129108	7.041322708	153
292	131564	7.041322708	153
293	129380	7.041322708	153
294	131356	7.061157703	153
295	129520	7.041322708	153
296	130208	7.041322708	153
297	131468	7.041322708	153
298	129800	7.061157703	153
299	131084	7.041322708	153
300	128720	7.041322708	153
301	131492	7.041322708	153
302	129352	7.041322708	153
303	130616	7.021488667	153
304	129724	7.041322708	153
305	130228	7.041322708	153
306	131024	7.021488667	153
307	129316	7.021488667	153
308	130188	7.021488667	153
309	131196	7.021488667	153
310	130164	7.041322708	153
311	130884	7.021488667	153
312	130668	7.021488667	153
313	130132	7.021488667	153
314	131400	7.021488667	153
315	129552	7.041322708	153
316	131096	7.001653671	153
317	129432	7.021488667	153
318	131568	7.021488667	153
319	129488	7.021488667	153
320	131420	7.001653671	153
321	130068	7.021488667	153
322	130832	7.021488667	153
323	131120	7.001653671	153
324	129480	7.041322708	153
325	131504	7.001653671	153
326	130040	7.021488667	153
327	130548	7.021488667	153
328	131388	7.001653671	153
329	130024	7.021488667	153
330	131632	7.021488667	153
331	129880	7.001653671	153
332	131796	7.001653671	153
333	130564	7.001653671	153
334	130908	7.021488667	153
335	131956	6.981818676	153
336	129712	7.021488667	153
337	132556	6.981818676	153
338	130576	7.001653671	153
339	131824	6.981818676	153
340	131004	7.001653671	153
341	131652	7.001653671	153
342	130768	7.001653671	153
343	132164	6.981818676	153
344	131884	7.001653671	153
345	149540	6.88264513	187
346	148140	6.902480125	187
347	149464	6.862811089	187
348	148264	6.88264513	187
349	149664	6.88264513	187
350	148488	6.88264513	187
351	149048	6.88264513	187
352	149476	6.862811089	187
353	148792	6.862811089	187
354	149412	6.88264513	187
355	148164	6.902480125	187
356	149336	6.862811089	187
357	149940	6.88264513	187
358	149776	6.862811089	187
359	149360	6.862811089	187
360	150768	6.862811089	187
361	148472	6.88264513	187
362	149148	6.862811089	187
363	149856	6.88264513	187
364	153996	6.823141098	187
365	146932	6.88264513	187
366	149828	6.862811089	187
367	150052	6.862811089	187
368	148764	6.862811089	187
369	150180	6.862811089	187
370	149936	6.862811089	187
371	150256	6.862811089	187
372	149964	6.862811089	187
373	148928	6.862811089	187
374	151396	6.842976093	187
375	149616	6.862811089	187
376	150052	6.842976093	187
377	149000	6.862811089	187
378	150152	6.862811089	187
379	149836	6.862811089	187
380	150172	6.842976093	187
381	151056	6.842976093	187
382	149216	6.862811089	187
383	151708	6.842976093	187
384	150368	6.862811089	187
385	150596	6.842976093	187
386	150628	6.842976093	187
387	150124	6.842976093	187
388	149840	6.842976093	187
389	149916	6.842976093	187
390	150112	6.823141098	187
391	150080	6.842976093	187
392	167912	6.723968029	221
393	167364	6.763637066	221
394	167136	6.743802547	221
395	167380	6.723968029	221
396	166708	6.743802547	221
397	167260	6.723968029	221
398	169112	6.743802547	221
399	166876	6.743802547	221
400	167572	6.723968029	221
401	168132	6.723968029	221
402	167984	6.723968029	221
403	167852	6.723968029	221
404	167780	6.723968029	221
405	166896	6.723968029	221
406	166892	6.704133034	221
407	166256	6.743802547	221
408	168556	6.723968029	221
409	166760	6.723968029	221
410	167388	6.704133034	221
411	169500	6.704133034	221
412	169328	6.723968029	221
413	167104	6.704133034	221
414	168096	6.723968029	221
415	166452	6.723968029	221
416	167112	6.704133034	221
417	167828	6.723968029	221
418	167344	6.704133034	221
419	168244	6.704133034	221
420	167436	6.704133034	221
421	167800	6.723968029	221
422	168452	6.704133034	221
423	168404	6.704133034	221
424	168432	6.704133034	221
425	168240	6.704133034	221
426	167792	6.704133034	221
427	167548	6.704133034	221
428	168580	6.684298515	221
429	166460	6.723968029	221
