model,horizon,n_windows,final_pos_rmse,final_vel_rmse,final_state_rmse
GP_DX,1,1399,0.0010280763963237405,0.0185890793800354,0.009808577597141266
GP_DX,5,1391,0.0044095697812736034,0.05936688184738159,0.03188822790980339
GP_DX,10,1381,0.009663292206823826,0.09733295440673828,0.05349811911582947
GP_DX,20,1361,0.02461922913789749,0.17447303235530853,0.09954612702131271
GP_DX,50,1301,0.10441043227910995,0.3629542887210846,0.23368237912654877
GP_ACCEL,1,1399,0.00021781645773444325,0.02285870350897312,0.011538260616362095
GP_ACCEL,5,1391,0.0023167794570326805,0.07324908673763275,0.037782933562994
GP_ACCEL,10,1381,0.007262593135237694,0.12262188643217087,0.06494223326444626
GP_ACCEL,20,1361,0.024859696626663208,0.22461764514446259,0.1247386708855629
GP_ACCEL,50,1301,0.1338213086128235,0.5063123106956482,0.32006677985191345
GP_RES_ACCEL,1,1399,0.00021781645773444325,0.022969858720898628,0.011593837291002274
GP_RES_ACCEL,5,1391,0.0023245925549417734,0.07356738299131393,0.03794598579406738
GP_RES_ACCEL,10,1381,0.007283881306648254,0.12294705957174301,0.06511546671390533
GP_RES_ACCEL,20,1361,0.024922750890254974,0.22507835924625397,0.12500056624412537
GP_RES_ACCEL,50,1301,0.13422025740146637,0.5075119733810425,0.3208661377429962
MASS,1,1399,0.00017016891797538847,0.027682999148964882,0.013926584273576736
MASS,5,1391,0.0019359675934538245,0.06140429899096489,0.031670134514570236
MASS,10,1381,0.00491543672978878,0.08132530003786087,0.0431203693151474
MASS,20,1361,0.014960884116590023,0.13411752879619598,0.07453920692205429
MASS,50,1301,0.07023688405752182,0.2585487365722656,0.16439281404018402
