model,next_pos_rmse_x,next_pos_mae_x,next_pos_r2_x,next_pos_rmse_y,next_pos_mae_y,next_pos_r2_y,next_pos_rmse_z,next_pos_mae_z,next_pos_r2_z,next_pos_rmse_mean,next_pos_mae_mean,next_pos_r2_mean,next_vel_rmse_vx,next_vel_mae_vx,next_vel_r2_vx,next_vel_rmse_vy,next_vel_mae_vy,next_vel_r2_vy,next_vel_rmse_vz,next_vel_mae_vz,next_vel_r2_vz,next_vel_rmse_mean,next_vel_mae_mean,next_vel_r2_mean,next_state_rmse_x,next_state_mae_x,next_state_r2_x,next_state_rmse_y,next_state_mae_y,next_state_r2_y,next_state_rmse_z,next_state_mae_z,next_state_r2_z,next_state_rmse_vx,next_state_mae_vx,next_state_r2_vx,next_state_rmse_vy,next_state_mae_vy,next_state_r2_vy,next_state_rmse_vz,next_state_mae_vz,next_state_r2_vz,next_state_rmse_mean,next_state_mae_mean,next_state_r2_mean,acc_rmse_ax,acc_mae_ax,acc_r2_ax,acc_rmse_ay,acc_mae_ay,acc_r2_ay,acc_rmse_az,acc_mae_az,acc_r2_az,acc_rmse_mean,acc_mae_mean,acc_r2_mean
GP_DX,0.0013233519857749343,0.0009850559290498495,0.9999992251396179,0.001004631631076336,0.0007264135638251901,0.9999992251396179,0.0007585456478409469,0.0005105671589262784,0.9999940991401672,0.0010288431076332927,0.0007406789227388799,0.9999975562095642,0.01681206375360489,0.012421966530382633,0.99991375207901,0.020723916590213776,0.014775823801755905,0.9997335076332092,0.018222808837890625,0.008819524198770523,0.9995625019073486,0.018586263060569763,0.01200577151030302,0.9997366070747375,0.0013233519857749343,0.0009850559290498495,0.9999992251396179,0.001004631631076336,0.0007264135638251901,0.9999992251396179,0.0007585456478409469,0.0005105671589262784,0.9999940991401672,0.01681206375360489,0.012421966530382633,0.99991375207901,0.020723916590213776,0.014775823801755905,0.9997335076332092,0.018222808837890625,0.008819524198770523,0.9995625019073486,0.009807553142309189,0.006373225245624781,0.9998671412467957,2.8730967044830322,2.2394542694091797,0.21192508935928345,2.769549608230591,2.0873000621795654,0.08988004922866821,5.056583881378174,4.567387580871582,0.3326094150543213,3.5664100646972656,2.9647140502929688,0.21147151291370392
GP_ACCEL,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.0002177765709348023,0.0001705098111415282,0.9999997019767761,0.02257893607020378,0.017024870961904526,0.9998443722724915,0.025713322684168816,0.018598327413201332,0.999589741230011,0.020264340564608574,0.008244345895946026,0.9994589686393738,0.022852199152112007,0.014622515998780727,0.9996309876441956,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.02257893607020378,0.017024870961904526,0.9998443722724915,0.025713322684168816,0.018598327413201332,0.999589741230011,0.020264340564608574,0.008244345895946026,0.9994589686393738,0.01153498888015747,0.007396512199193239,0.9998152852058411,2.2578930854797363,1.7024867534637451,0.5132860541343689,2.5713329315185547,1.8598343133926392,0.21549272537231445,2.0264344215393066,0.8244342803955078,0.8928158283233643,2.285220146179199,1.4622517824172974,0.540531575679779
GP_RES_ACCEL,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.0002177765709348023,0.0001705098111415282,0.9999997019767761,0.022795207798480988,0.017179328948259354,0.9998413920402527,0.025858929380774498,0.018709709867835045,0.9995850324630737,0.020236006006598473,0.008227173238992691,0.9994604587554932,0.022963382303714752,0.014705403707921505,0.9996289610862732,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.022795207798480988,0.017179328948259354,0.9998413920402527,0.025858929380774498,0.018709709867835045,0.9995850324630737,0.020236006006598473,0.008227173238992691,0.9994604587554932,0.011590578593313694,0.007437956985086203,0.9998143315315247,2.2795217037200928,1.7179317474365234,0.5039168000221252,2.5858938694000244,1.8709683418273926,0.20658248662948608,2.023599863052368,0.822717010974884,0.8931154608726501,2.2963383197784424,1.4705390930175781,0.5345382690429688
MASS,0.00017172121442854404,0.0001265182509087026,1.0,0.00022257069940678775,0.00017281451437156647,0.9999999403953552,0.00011611984518822283,5.68239702261053e-05,0.9999998807907104,0.00017013725300785154,0.00011871891911141574,1.0,0.026435013860464096,0.018395405262708664,0.9997867345809937,0.03565303981304169,0.0262661874294281,0.9992111921310425,0.02094181440770626,0.008835767395794392,0.9994221925735474,0.027676621451973915,0.017832452431321144,0.9994733929634094,0.00017172121442854404,0.0001265182509087026,1.0,0.00022257069940678775,0.00017281451437156647,0.9999999403953552,0.00011611984518822283,5.68239702261053e-05,0.9999998807907104,0.026435013860464096,0.018395405262708664,0.9997867345809937,0.03565303981304169,0.0262661874294281,0.9992111921310425,0.02094181440770626,0.008835767395794392,0.9994221925735474,0.01392338052392006,0.008975585922598839,0.9997367262840271,2.643500566482544,1.839539647102356,0.33284634351730347,3.5653035640716553,2.6266188621520996,-0.5082501173019409,2.0941824913024902,0.8835758566856384,0.8855292201042175,2.7676620483398438,1.7832447290420532,0.23670847713947296
