model,horizon,n_windows,final_pos_rmse,final_vel_rmse,final_state_rmse
GP_DX,1,1399,0.001162820728495717,0.020006956532597542,0.01058488804847002
GP_DX,5,1391,0.005210462957620621,0.06750758737325668,0.0363590233027935
GP_DX,10,1381,0.01127591822296381,0.1163543164730072,0.06381511688232422
GP_DX,20,1361,0.02860942669212818,0.21343831717967987,0.12102387100458145
GP_DX,50,1301,0.12478267401456833,0.4555845260620117,0.2901836037635803
GP_ACCEL,1,1399,0.00021781645773444325,0.023347346112132072,0.01178258191794157
GP_ACCEL,5,1391,0.002371751004830003,0.07537118345499039,0.03887146711349487
GP_ACCEL,10,1381,0.007490227464586496,0.12722831964492798,0.06735926866531372
GP_ACCEL,20,1361,0.02586972527205944,0.23516345024108887,0.13051658868789673
GP_ACCEL,50,1301,0.14103195071220398,0.5356593728065491,0.33834564685821533
GP_RES_ACCEL,1,1399,0.00021781645773444325,0.02337825857102871,0.01179803628474474
GP_RES_ACCEL,5,1391,0.0023658990394324064,0.07566007226705551,0.03901298716664314
GP_RES_ACCEL,10,1381,0.007473289500921965,0.12722264230251312,0.06734796613454819
GP_RES_ACCEL,20,1361,0.025745540857315063,0.23403286933898926,0.12988920509815216
GP_RES_ACCEL,50,1301,0.13967925310134888,0.5309308171272278,0.33530500531196594
MASS,1,1399,0.00017016891797538847,0.027682999148964882,0.013926584273576736
MASS,5,1391,0.0019359675934538245,0.06140429899096489,0.031670134514570236
MASS,10,1381,0.00491543672978878,0.08132530003786087,0.0431203693151474
MASS,20,1361,0.014960884116590023,0.13411752879619598,0.07453920692205429
MASS,50,1301,0.07023688405752182,0.2585487365722656,0.16439281404018402
