model,next_pos_rmse_x,next_pos_mae_x,next_pos_r2_x,next_pos_rmse_y,next_pos_mae_y,next_pos_r2_y,next_pos_rmse_z,next_pos_mae_z,next_pos_r2_z,next_pos_rmse_mean,next_pos_mae_mean,next_pos_r2_mean,next_vel_rmse_vx,next_vel_mae_vx,next_vel_r2_vx,next_vel_rmse_vy,next_vel_mae_vy,next_vel_r2_vy,next_vel_rmse_vz,next_vel_mae_vz,next_vel_r2_vz,next_vel_rmse_mean,next_vel_mae_mean,next_vel_r2_mean,next_state_rmse_x,next_state_mae_x,next_state_r2_x,next_state_rmse_y,next_state_mae_y,next_state_r2_y,next_state_rmse_z,next_state_mae_z,next_state_r2_z,next_state_rmse_vx,next_state_mae_vx,next_state_r2_vx,next_state_rmse_vy,next_state_mae_vy,next_state_r2_vy,next_state_rmse_vz,next_state_mae_vz,next_state_r2_vz,next_state_rmse_mean,next_state_mae_mean,next_state_r2_mean,acc_rmse_ax,acc_mae_ax,acc_r2_ax,acc_rmse_ay,acc_mae_ay,acc_r2_ay,acc_rmse_az,acc_mae_az,acc_r2_az,acc_rmse_mean,acc_mae_mean,acc_r2_mean
GP_DX,0.00156146299559623,0.0011272351257503033,0.999998927116394,0.0011229395167902112,0.0008643913315609097,0.9999989867210388,0.0008080701809376478,0.0005281646153889596,0.9999932646751404,0.0011641575256362557,0.0008399303187616169,0.999997079372406,0.019063182175159454,0.014389155432581902,0.999889075756073,0.02245635725557804,0.01613505929708481,0.9996870756149292,0.018498007208108902,0.009421391412615776,0.999549150466919,0.02000584825873375,0.013315201736986637,0.9997084140777588,0.00156146299559623,0.0011272351257503033,0.999998927116394,0.0011229395167902112,0.0008643913315609097,0.9999989867210388,0.0008080701809376478,0.0005281646153889596,0.9999932646751404,0.019063182175159454,0.014389155432581902,0.999889075756073,0.02245635725557804,0.01613505929708481,0.9996870756149292,0.018498007208108902,0.009421391412615776,0.999549150466919,0.010585002601146698,0.007077565882354975,0.9998528361320496,2.8230481147766113,2.204249620437622,0.23914200067520142,2.7525267601013184,2.0588302612304688,0.10103362798690796,5.643908977508545,5.136466979980469,0.16857004165649414,3.739828109741211,3.1331822872161865,0.16958189010620117
GP_ACCEL,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.0002177765709348023,0.0001705098111415282,0.9999997019767761,0.023347875103354454,0.01764870062470436,0.9998336434364319,0.026254802942276,0.01889205351471901,0.9995722770690918,0.020418336614966393,0.008797287940979004,0.99945068359375,0.023340338841080666,0.0151126803830266,0.9996188282966614,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.023347875103354454,0.01764870062470436,0.9998336434364319,0.026254802942276,0.01889205351471901,0.9995722770690918,0.020418336614966393,0.008797287940979004,0.99945068359375,0.011779057793319225,0.007641594856977463,0.9998092651367188,2.334789276123047,1.76487135887146,0.4795699119567871,2.625478744506836,1.8892050981521606,0.1821054220199585,2.0418338775634766,0.8797276020050049,0.8911805748939514,2.334033966064453,1.5112680196762085,0.5176186561584473
GP_RES_ACCEL,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.0002177765709348023,0.0001705098111415282,0.9999997019767761,0.023639561608433723,0.01792953722178936,0.9998294115066528,0.026223337277770042,0.018886495381593704,0.999573290348053,0.020253591239452362,0.008236723951995373,0.9994595050811768,0.023372163996100426,0.015017584897577763,0.9996207356452942,0.00018007408652920276,0.00014169923088047653,1.0,0.00016636913642287254,0.00012785456783603877,1.0,0.0003068865044042468,0.00024197566381189972,0.9999990463256836,0.023639561608433723,0.01792953722178936,0.9998294115066528,0.026223337277770042,0.018886495381593704,0.999573290348053,0.020253591239452362,0.008236723951995373,0.9994595050811768,0.01179496943950653,0.0075940475799143314,0.9998102188110352,2.3639562129974365,1.792954444885254,0.4664859175682068,2.6223347187042236,1.888647437095642,0.18406295776367188,2.025357723236084,0.8236728310585022,0.8929296731948853,2.3372161388397217,1.5017582178115845,0.5144928097724915
MASS,0.00017172121442854404,0.0001265182509087026,1.0,0.00022257069940678775,0.00017281451437156647,0.9999999403953552,0.00011611984518822283,5.68239702261053e-05,0.9999998807907104,0.00017013725300785154,0.00011871891911141574,1.0,0.026435013860464096,0.018395405262708664,0.9997867345809937,0.03565303981304169,0.0262661874294281,0.9992111921310425,0.02094181440770626,0.008835767395794392,0.9994221925735474,0.027676621451973915,0.017832452431321144,0.9994733929634094,0.00017172121442854404,0.0001265182509087026,1.0,0.00022257069940678775,0.00017281451437156647,0.9999999403953552,0.00011611984518822283,5.68239702261053e-05,0.9999998807907104,0.026435013860464096,0.018395405262708664,0.9997867345809937,0.03565303981304169,0.0262661874294281,0.9992111921310425,0.02094181440770626,0.008835767395794392,0.9994221925735474,0.01392338052392006,0.008975585922598839,0.9997367262840271,2.643500566482544,1.839539647102356,0.33284634351730347,3.5653035640716553,2.6266188621520996,-0.5082501173019409,2.0941824913024902,0.8835758566856384,0.8855292201042175,2.7676620483398438,1.7832447290420532,0.23670847713947296
